Time.min rf.cm
0 0
15 0
30 0
45 0
60 0
75 0
90 0
105 0
120 0
135 0
150 0
165 0
180 0
195 0
210 0
225 0.02
240 0.02
255 0
270 0
285 0
300 0
315 0
330 0
345 0
360 0
375 0
390 0
405 0
420 0
435 0
450 0
465 0
480 0
495 0
510 0
525 0.06
540 0
555 0.02
570 0
585 0.04
600 0.22
615 0.6
630 0.36
645 2.18
660 2.52
675 1.68
690 0.74
705 0.18
720 0.54
735 0.24
750 0.02
765 0.02
780 0
795 0.02
810 0.02
825 0.04
840 0.1
855 0.04
870 0.04
885 0.02
900 0.08
915 0.02
930 0
945 0.02
960 0
975 0
990 0.02
1005 0.04
1020 0.02
1035 0.08
1050 0.12
1065 0.06
1080 0.02
1095 0.02
1110 0.04
1125 0.08
1140 0.06
1155 0.08
1170 0.2
1185 0.06
1200 0.06
1215 0.06
1230 0.06
1245 0.02
1260 0.04
1275 0.02
1290 0.02
1305 0.02
1320 0.02
1335 0.04
1350 0.04
1365 0.04
1380 0.04
1395 0.04
1410 0.04
1425 0.02
